country_name,country_code,indicator_name,indicator_code,debt
Liberia,LBR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2234742478.9
Madagascar,MDG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6653640488.3
Malawi,MWI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3743648285.8
Maldives,MDV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4692462747.8
Mali,MLI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6439962214.4
Mauritania,MRT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4459916731.6
Mauritius,MUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,20364236675.8
Mexico,MEX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,591255026725.0
Moldova,MDA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10491120731.8
Mongolia,MNG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,38016581521.2
Montenegro,MNE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,8741348456.1
Morocco,MAR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,67993946129.4
Mozambique,MOZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,69765373429.6
Myanmar,MMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11174807782.3
Nepal,NPL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10152157325.7
Nicaragua,NIC,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,15490530047.6
Niger,NER,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5308857136.5
Nigeria,NGA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,108757630161.5
North Macedonia,MKD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12837215392.3
Pakistan,PAK,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,129717513746.7
Papua New Guinea,PNG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12854160687.9
Paraguay,PRY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,29963457224.3
Peru,PER,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,93268743431.7
Philippines,PHL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,137018240525.2
Rwanda,RWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,13050400791.1
Samoa,WSM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,394938377.5
Sao Tome and Principe,STP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,326406625.8
Senegal,SEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,47146494529.5
Serbia,SRB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,51983619466.8
Sierra Leone,SLE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2329744049.4
