country_name,total_external_debt_billions_usd
China,2419.84
India,716.46
Brazil,605.46
Mexico,591.26
Turkiye,514.99
Indonesia,421.06
Argentina,242.36
Colombia,201.76
Ukraine,193.49
Thailand,191.83
